PERKS,,,,,,,,,,,,,
perkname_graham_pure_blood,"Pure Blood",,,,,,,,,,,,
perkdesc_graham_pure_blood,"Your blood is replaced with cleansing Pure Liquid.",,,,,,,,,,,,
perkname_graham_salt_blood,"Salt Blood",,,,,,,,,,,,
perkdesc_graham_salt_blood,"You bleed salt and slowly suck up nearby liquids, and take a bit less damage.",,,,,,,,,,,,
perkname_graham_item_lottery,"Item Lottery (One-off)",,,,,,,,,,,,
perkdesc_graham_item_lottery,A few random items and potions appear for you!,,,,,,,,,,,,
perkname_graham_meat_money,"Midas Meat",,,,,,,,,,,,
perkdesc_graham_meat_money,Most nearby enemy corpses are converted into gold.,,,,,,,,,,,,
perkname_graham_lifelottery,"Life Lottery (One-off)",,,,,,,,,,,,
perkdesc_graham_lifelottery,"50/50",,,,,,,,,,,,
perkname_graham_heatwave,"Heat Wave",,,,,,,,,,,,
perkdesc_graham_heatwave,"You melt nearby ice and other cold materials, and are immune to being frozen.",,,,,,,,,,,,
perkname_graham_wand_reforge,"Wand Reforge (One-off)",,,,,,,,,,,,
perkdesc_graham_wand_reforge,"The stats of the wand in your hand are improved slightly.",,,,,,,,,,,,
perkname_graham_healthy_hearts,"Healthy Hearts",,,,,,,,,,,,
perkdesc_graham_healthy_hearts,"Hearts that increase your maximum HP also heal you.",,,,,,,,,,,,
perkname_graham_bloody_perk,"Bloody Bonus",,,,,,,,,,,,
perkdesc_graham_bloody_perk,"You gain a bonus perk in the Holy Mountain after killing enough enemies on a floor.",,,,,,,,,,,,
perkname_graham_elementals,"Friendly Elements (One-off)",,,,,,,,,,,,
perkdesc_graham_elementals,"You gain an artefact that allows you to pacify the elements.",,,,,,,,,,,,
perkname_graham_lucky_clover,"Lucky Clover",,,,,,,,,,,,
perkdesc_graham_lucky_clover,"Your chance to find a healthy heart or a rare chest is greatly increased.",,,,,,,,,,,,
perkname_graham_revenge_freeze,"Revenge Freeze",,,,,,,,,,,,
perkdesc_graham_revenge_freeze,"You release a myriad of ice-cold projectiles upon taking damage.",,,,,,,,,,,,
perkname_graham_immunityaura,"Immunity Aura",,,,,,,,,,,,
perkdesc_graham_immunityaura,You gain a random immunity that may change when you are too confused.,,,,,,,,,,,,
perkname_graham_materialist,"Materialist",,,,,,,,,,,,
perkdesc_graham_materialist,"Your wands charge mana faster depending on how many one-off perks you have.",,,,,,,,,,,,
perkname_graham_death,"Demise",,,,,,,,,,,,
perkdesc_graham_death,"You start your next run with +50 health and an extra perk, but you die instantly when under 20% health.",,,,,,,,,,,,
perkname_graham_robot,"Technical Prowess",,,,,,,,,,,,
perkdesc_graham_robot,"You feel a certain kinship with the robots of the world.",,,,,,,,,,,,
perkname_graham_luckyday,"Lucky Day",,,,,,,,,,,,
perkdesc_graham_luckyday,"You gain a chance to block major damage.",,,,,,,,,,,,
