PERKS,,,,,,,,,,,,,
perkname_graham_pure_blood,"Чистая кровь",,,,,,,,,,,,
perkdesc_graham_pure_blood,"Ваша кровь заменяется на очищающую чистую жидкость.",,,,,,,,,,,,
perkname_graham_salt_blood,"Соленая кровь",,,,,,,,,,,,
perkdesc_graham_salt_blood,"Вы истекаете солью и медленно всасываете близлежащие жидкости, получая при этом немного меньше урона.",,,,,,,,,,,,
perkname_graham_item_lottery,"Лотерея предметов (разовая)",,,,,,,,,,,,
perkdesc_graham_item_lottery,"Несколько случайных предметов и зелий появляются для вас!",,,,,,,,,,,,
perkname_graham_meat_money,"Мясо Мидаса",,,,,,,,,,,,
perkdesc_graham_meat_money,"Большинство ближайших трупов врагов превращаются в золото.",,,,,,,,,,,,
perkname_graham_lifelottery,"Лотерея жизни (одноразовая)",,,,,,,,,,,,
perkdesc_graham_lifelottery,"50/50",,,,,,,,,,,,
perkname_graham_heatwave,"Волна тепла",,,,,,,,,,,,
perkdesc_graham_heatwave,"Вы растапливаете близлежащий лед и другие холодные материалы, а также имеете иммунитет к замораживанию.",,,,,,,,,,,,
perkname_graham_wand_reforge,"Перековка жезла (разовая)",,,,,,,,,,,,
perkdesc_graham_wand_reforge,"Статы палочки в вашей руке немного улучшаются.",,,,,,,,,,,,
perkdesc_graham_healthy_hearts,"Здоровые сердца",,,,,,,,,,,,
perkdesc_graham_healthy_hearts,"Сердца, увеличивающие ваш максимальный HP, также исцеляют вас.",,,,,,,,,,,,
perkname_graham_bloody_perk,"Кровавый бонус",,,,,,,,,,,,
perkdesc_graham_bloody_perk,"Вы получаете бонусный перк в Святой горе, убив достаточное количество врагов на этаже.",,,,,,,,,,,,
perkname_graham_elementals,"Дружественные элементы (одноразово)",,,,,,,,,,,,
perkdesc_graham_elementals,"Вы получаете артефакт, позволяющий умиротворять стихии.",,,,,,,,,,,,
perkname_graham_lucky_clover,"Счастливый клевер",,,,,,,,,,,,
perkdesc_graham_lucky_clover,"Ваш шанс найти здоровое сердце или редкий сундук значительно увеличивается.",,,,,,,,,,,,
perkname_graham_revenge_freeze,"Заморозка мести",,,,,,,,,,,,
perkdesc_graham_revenge_freeze,"При получении урона вы выпускаете множество ледяных снарядов.",,,,,,,,,,,,
perkname_graham_immunityaura,"Аура иммунитета",,,,,,,,,,,,
perkdesc_graham_immunityaura,"Вы получаете случайный иммунитет, который может измениться, когда вы слишком запутаетесь.",,,,,,,,,,,,
perkname_graham_materialist,"Материалист",,,,,,,,,,,,
perkdesc_graham_materialist,"Ваши жезлы заряжаются маной быстрее в зависимости от того, сколько разовых перков у вас есть.",,,,,,,,,,,,
perkname_graham_death,"Унижение",,,,,,,,,,,,
perkdesc_graham_death,"Вы начинаете свой следующий забег с +50 здоровья и дополнительным перком, но мгновенно умираете, когда у вас остается менее 20% здоровья.",,,,,,,,,,,,
perkname_graham_robot,"Техническое мастерство",,,,,,,,,,,,
perkdesc_graham_robot,"Вы чувствуете некое родство с роботами мира.",,,,,,,,,,,,
perkname_graham_luckyday,"Счастливый день",,,,,,,,,,,,
perkdesc_graham_luckyday,"Вы получаете шанс блокировать большой урон.",,,,,,,,,,,,
perkname_graham_zaptap,"Замыкание",,,,,,,,,,,,
perkdesc_graham_zaptap,"Враги, попадающие в вас с близкого расстояния, получают электрический шок, а вы становитесь невосприимчивы к урону ближнего боя.",,,,,,,,,,,,
perkname_graham_iou,"IOU (одноразовый)",,,,,,,,,,,,
perkdesc_graham_iou,"Вы получаете 5 минут неограниченной работы с палочкой и случайный перк после этого.",,,,,,,,,,,,
perkname_graham_breadcrumbs,"Хлебные крошки",,,,,,,,,,,,
perkdesc_graham_breadcrumbs,"Вы оставляете за собой след из полезных орбов, которые повышают вашу скорость в местах, где вы уже побывали.",,,,,,,,,,,,
perkname_graham_campfire,"Костры",,,,,,,,,,,,
perkdesc_graham_campfire,"Исцеления в будущих Священных горах дают только то, что вам нужно, и могут быть взяты понемногу.",,,,,,,,,,,,
perkname_graham_guard,"Безопасная разведка",,,,,,,,,,,,
perkdesc_graham_guard,"При первом входе в зону вы получаете кратковременную неуязвимость.",,,,,,,,,,,,
perkname_graham_tipsy_ghost,"Типичный призрак",,,,,,,,,,,,
perkdesc_graham_tipsy_ghost,"Непрофессиональный дух приходит к вам на помощь, и в состоянии опьянения вы больше не нарушаете прицеливание.",,,,,,,,,,,,
perkname_graham_map,"Таинственный радар I",,,,,,,,,,,,
perkdesc_graham_map,"Стоя на месте, вы можете почувствовать некоторые тайны, скрытые по всему миру.",,,,,,,,,,,,
perkname_graham_map2,"Таинственный радар II",,,,,,,,,,,,
