PERKS,,,,,,,,,,,,,
perkname_graham_pure_blood,"纯净血液",,,,,,,,,,,,
perkdesc_graham_pure_blood,"你的血液被纯净液体所取代。",,,,,,,,,,,,
perkname_graham_salt_blood,"盐分血液",,,,,,,,,,,,
perkdesc_graham_salt_blood,"你受伤时会流出盐，平时能够缓慢地吸收附近的液体，并减少一点受到伤害。",,,,,,,,,,,,
perkname_graham_item_lottery,"抽奖（一次性）",,,,,,,,,,,,
perkdesc_graham_item_lottery,在你面前生成一些随机物品和药水！,,,,,,,,,,,,
perkname_graham_meat_money,"点尸成金",,,,,,,,,,,,
perkdesc_graham_meat_money,大多数附近的敌人尸体都被转化为黄金。,,,,,,,,,,,,
perkname_graham_lifelottery,"生命博彩（一次性）",,,,,,,,,,,,
perkdesc_graham_lifelottery,"1/2 做好赌输的准备了吗？",,,,,,,,,,,,
perkname_graham_heatwave,"热浪",,,,,,,,,,,,
perkdesc_graham_heatwave,"你融化附近的冰和其他寒冷的物质，并且免疫冻结。",,,,,,,,,,,,
perkname_graham_wand_reforge,"魔杖重铸（一次性）",,,,,,,,,,,,
perkdesc_graham_wand_reforge,"你手持的魔杖属性略有提高。",,,,,,,,,,,,
perkname_graham_healthy_hearts,"健康的心",,,,,,,,,,,,
perkdesc_graham_healthy_hearts,"增加最大生命值的红心也会治愈你。",,,,,,,,,,,,
perkname_graham_bloody_perk,"血腥奖励",,,,,,,,,,,,
perkdesc_graham_bloody_perk,"在一个关卡杀死足够多的敌人后，你会在圣山获得额外奖励。",,,,,,,,,,,,
perkname_graham_elementals,"友好元素（一次性）",,,,,,,,,,,,
perkdesc_graham_elementals,"你获得了一件可以安抚元素的神器。",,,,,,,,,,,,
perkname_graham_lucky_clover,"幸运四叶草",,,,,,,,,,,,
perkdesc_graham_lucky_clover,"您找到红心或稀有宝箱的机会将大大增加。",,,,,,,,,,,,
perkname_graham_revenge_freeze,"复仇冻结",,,,,,,,,,,,
perkdesc_graham_revenge_freeze,"你在受到伤害时释放出冰冷的投射物。",,,,,,,,,,,,
perkname_graham_immunityaura,"免疫光环",,,,,,,,,,,,
perkdesc_graham_immunityaura,你获得随机的免疫效果，当你过于混乱时效果可能会改变。,,,,,,,,,,,,
perkname_graham_materialist,"唯物主义者",,,,,,,,,,,,
perkdesc_graham_materialist,"根据你拥有一次性天赋的数量提升你魔杖的法力恢复速度。",,,,,,,,,,,,
perkname_graham_death,"消亡",,,,,,,,,,,,
perkdesc_graham_death,"你的下一局游戏将以+50最大生命值和一个额外天赋开始，但在本局游戏当你的生命值低于20%时你会立即死亡。",,,,,,,,,,,,
perkname_graham_robot,"科技力量",,,,,,,,,,,,
perkdesc_graham_robot,"你觉得与世界上的机器人有某种亲缘关系。",,,,,,,,,,,,
perkname_graham_luckyday,"幸运日",,,,,,,,,,,,
perkdesc_graham_luckyday,"你有机会规避重大伤害。",,,,,,,,,,,,
perkname_graham_zaptap,"静电",,,,,,,,,,,,
perkdesc_graham_zaptap,"当敌人近距离攻击你时，你们之间会产生一次电击，你获得近战免疫。",,,,,,,,,,,,
perkname_graham_iou,"欠条（一次性）",,,,,,,,,,,,
perkdesc_graham_iou,"你将获得5分钟的随时修改魔杖，时间结束之后会获得随机奖励。",,,,,,,,,,,,
perkname_graham_breadcrumbs,"面包屑",,,,,,,,,,,,
perkdesc_graham_breadcrumbs,"你留下了有用的球体，这些球体可以在你已经去过的地方加速你的移动。",,,,,,,,,,,,
perkname_graham_campfire,"营火",,,,,,,,,,,,
perkdesc_graham_campfire,"此后圣山中的红心只给你所需要的恢复量，你可以一点一点的使用。",,,,,,,,,,,,
perkname_graham_guard,"安全探索",,,,,,,,,,,,
perkdesc_graham_guard,"当第一次进入一个区域时，你会获得短暂的无敌效果。",,,,,,,,,,,,
perkname_graham_tipsy_ghost,"酒鬼幽灵",,,,,,,,,,,,
perkdesc_graham_tipsy_ghost,"一个不专业的幽灵会助你一臂之力，你的瞄准不会在醉酒时受到干扰。",,,,,,,,,,,,
perkname_graham_map,"神秘雷达 I",,,,,,,,,,,,
perkdesc_graham_map,"如果些许驻足，便可以感觉到一些隐藏在世界各地的秘密。",,,,,,,,,,,,
perkname_graham_map2,"神秘雷达 II",,,,,,,,,,,,
perkdesc_graham_map2,"如果些许驻足，便可以感受到更多隐藏在世界各地的秘密。",,,,,,,,,,,,
perkname_graham_proj,"元素适应",,,,,,,,,,,,
perkdesc_graham_proj,"你受到的投射物伤害减少75%，但受到的其他种类伤害加倍。",,,,,,,,,,,,
perkname_graham_edge,"冷血无情",,,,,,,,,,,,
perkdesc_graham_edge,"任何生命值低于10%的敌人都会立即死亡。",,,,,,,,,,,,
perkname_graham_magicskin,"魔法皮肤",,,,,,,,,,,,
perkdesc_graham_magicskin,"在此后的圣山中你能获得额外的天赋，但是你会受到可怕的诅咒......",,,,,,,,,,,,
perkname_graham_bloodorb,"徘徊眼球",,,,,,,,,,,,
perkdesc_graham_bloodorb,"你获得三个可以反射敌人远程伤害的眼球。",,,,,,,,,,,,
EFFECTS,,,,,,,,,,,,,
graham_status_bloodboil,沸腾的血液,,,,,,,,,,,,
graham_statusdesc_bloodboil,你感到无法抑制的愤怒！,,,,,,,,,,,,
graham_status_consumed,同化,,,,,,,,,,,,
graham_statusdesc_consumed,你正在被同化。,,,,,,,,,,,,
graham_status_creepypoly,小蜘蛛变形,,,,,,,,,,,,
graham_statusdesc_creepypoly,你现在是小蜘蛛了。,,,,,,,,,,,,
graham_status_healthymeal,满意,,,,,,,,,,,,
graham_statusdesc_healthymeal,你感觉自己更强了！你受到的伤害减少20%。,,,,,,,,,,,,
graham_status_greedymeal,贪得无厌,,,,,,,,,,,,
graham_statusdesc_greedymeal,你觉得很贪心！拾取金块将获得双倍的黄金。,,,,,,,,,,,,
graham_status_caffeinated,咖啡因,,,,,,,,,,,,
graham_statusdesc_caffeinated,你感到精力充沛！你受到的伤害增加20%。,,,,,,,,,,,,
graham_status_birthday,庆典,,,,,,,,,,,,
graham_statusdesc_birthday,你感到快乐 你受到的伤害减少33%。,,,,,,,,,,,,
graham_status_snub,致盲,,,,,,,,,,,,
graham_statusdesc_snub,你遮挡了自己的视线。,,,,,,,,,,,,
graham_statusdesc_snub2,你遮挡了敌人的视线。,,,,,,,,,,,,
graham_status_tinker,随时随地修改魔杖,,,,,,,,,,,,
graham_statusdesc_tinker,"在一段时间内你可以随时随地编辑魔杖。",,,,,,,,,,,,
graham_status_breadcrumb,"面包屑",,,,,,,,,,,,
graham_statusdesc_breadcrumb,"这个区域感觉很熟悉......你的移动速度得到了提升！",,,,,,,,,,,,
graham_status_minty,"刷新",,,,,,,,,,,,
graham_statusdesc_minty,"你感觉被净化了。当你的健康状况越高时，你受到的伤害会越少。",,,,,,,,,,,,
graham_status_accuracy,"精确瞄准",,,,,,,,,,,,
graham_statusdesc_accuracy,"你感觉更专注。",,,,,,,,,,,,
graham_statusdesc_confusion,"你感到非常混乱。你的头好像在旋转......",,,,,,,,,,,,
graham_status_guardian,"守护者",,,,,,,,,,,,
graham_statusdesc_guardian,"你保护了附近的生物，但你的生命正在流失！",,,,,,,,,,,,
graham_status_immunityaura,"高度专注",,,,,,,,,,,,
graham_statusdesc_immunityaura,"你的头脑非常清晰。\n你的免疫效果被禁用......暂时。",,,,,,,,,,,,
graham_status_teleportsick,"传送疾病",,,,,,,,,,,,
graham_statusdesc_teleportsick,"你的胃在翻滚......你的移动速度变慢了。",,,,,,,,,,,,
PICKUPS,,,,,,,,,,,,,
item_coffee,一杯$0,,,,,,,,,,,,
item_coffee_name,杯,,,,,,,,,,,,
item_vial,$0小瓶,,,,,,,,,,,,
item_vial_name,小瓶,,,,,,,,,,,,
item_balloon,$0气球,,,,,,,,,,,,
item_balloon_name,气球,,,,,,,,,,,,
item_burger,汉堡,,,,,,,,,,,,
item_burger_name,它可以消除任何饥饿。,,,,,,,,,,,,
graham_healthyheart_name,健康的心脏,,,,,,,,,,,,
graham_healthyheart_pickup,拾起一颗健康的心,,,,,,,,,,,,
logdesc_healthyheart,治愈并增加最大生命值$0,,,,,,,,,,,,
graham_cybereye_name,赛博真眼,,,,,,,,,,,,
graham_cybereye_desc,你能听到里面充满恶意并饱含科技感的嗡嗡声。,,,,,,,,,,,,
graham_magmacore_name,岩浆核心,,,,,,,,,,,,
graham_magmacore_desc,它发出令人兴奋的温暖。你觉得它好像有保护你的意愿。,,,,,,,,,,,,
graham_bloodmoon_name,血月,,,,,,,,,,,,
graham_bloodmoon_desc,陨石坑中散发出的不祥红光。,,,,,,,,,,,,
graham_safe_name,黄金穹顶,,,,,,,,,,,,
graham_safe_desc,可以扔出去召唤一个保护性的钢制拱顶,,,,,,,,,,,,
graham_chest_lost,失落的宝箱,,,,,,,,,,,,
graham_chest_mini,迷你宝箱,,,,,,,,,,,,
graham_chest_immunity,空灵宝箱,,,,,,,,,,,,
graham_chest_bloody,血腥宝箱,,,,,,,,,,,,
graham_chest_SMALLER,小宝箱,,,,,,,,,,,,
graham_chest_tinker,修补匠的奖赏,,,,,,,,,,,,
MATERIALS,,,,,,,,,,,,,
material_graham_wormygold,蠕虫黄金,,,,,,,,,,,,
material_graham_statium,元素精华,,,,,,,,,,,,
material_graham_bubblygas,狂暴气体,,,,,,,,,,,,
material_graham_bubbly,冒泡液体,,,,,,,,,,,,
material_graham_creepypoly,恐怖变形气体,,,,,,,,,,,,
material_graham_creepypoly_frozen,冻结的恐怖变形气体,,,,,,,,,,,,
material_graham_graymatter_liquid,同化液体,,,,,,,,,,,,
material_graham_hellblood,地狱之血,,,,,,,,,,,,
material_graham_ascendum,强力漂浮魔药,,,,,,,,,,,,
material_graham_precursor,嬗变元素,,,,,,,,,,,,
material_graham_resist,腐化神佑魔药,,,,,,,,,,,,
material_graham_darkgas,不祥气体,,,,,,,,,,,,
material_graham_sweetgas,魅惑气体,,,,,,,,,,,,
material_graham_cloud_sweet,魅惑雾,,,,,,,,,,,,
material_graham_cloud_angy,狂暴雾,,,,,,,,,,,,
material_graham_stickyfungus,粘菌,,,,,,,,,,,,
material_graham_driedfungus,蘑菇粉尘,,,,,,,,,,,,
material_graham_pureliquid,纯净液体,,,,,,,,,,,,
material_graham_beans,咖啡渣,,,,,,,,,,,,
material_graham_coffee,咖啡,,,,,,,,,,,,
material_graham_meathealthy,令人满意的食物,,,,,,,,,,,,
material_graham_meatgreedy,令人贪婪的食物,,,,,,,,,,,,
material_graham_mundane,平凡的食物,,,,,,,,,,,,
material_graham_yum,好吃的食物,,,,,,,,,,,,
material_graham_lavaglass,熔岩玻璃,,,,,,,,,,,,
material_graham_lava,暗淡的熔岩,,,,,,,,,,,,
material_graham_acid,暗淡的酸液,,,,,,,,,,,,
material_graham_hamburger,汉堡,,,,,,,,,,,,
material_graham_creep,creep,,,,,,,,,,,,
material_graham_ash,灰,,,,,,,,,,,,
material_graham_wood_rot,腐烂木头,,,,,,,,,,,,
material_graham_birthday,生日魔法,,,,,,,,,,,,
material_graham_copium,安慰剂,,,,,,,,,,,,
material_graham_tele_chaotic,混乱传送魔药,,,,,,,,,,,,
material_graham_slush,薄荷汤,,,,,,,,,,,,
material_graham_slush_ice,薄荷粉,,,,,,,,,,,,
material_graham_confusion,奇怪的混合物,,,,,,,,,,,,
material_graham_emptiness,纯粹的虚无,,,,,,,,,,,,
material_graham_love,爱,,,,,,,,,,,,
material_graham_balloon,气球,,,,,,,,,,,,
SPELLS,,,,,,,,,,,,,
graham_name_mist_sweet,魅惑雾,,,,,,,,,,,,
graham_desc_mist_sweet,一团能产生魅惑效果的雾气,,,,,,,,,,,,
graham_name_material_pure,纯净液体,,,,,,,,,,,,
graham_desc_material_pure,凭空产生一滴纯净液体,,,,,,,,,,,,
graham_name_material_radioactive,毒性淤泥,,,,,,,,,,,,
graham_desc_material_radioactive,凭空产生一滴毒性淤泥,,,,,,,,,,,,
graham_name_coffee,召唤咖啡,,,,,,,,,,,,
graham_desc_coffee,为你制作一杯美味的咖啡！,,,,,,,,,,,,
graham_name_rot,化物为腐,,,,,,,,,,,,
graham_desc_rot,令投射物周围的材料腐蚀和老化,,,,,,,,,,,,
graham_name_extinguisher,化火为水,,,,,,,,,,,,
graham_desc_extinguisher,令投射物周围的火转化为水,,,,,,,,,,,,
graham_name_wood,腐烂木块,,,,,,,,,,,,
