NEW TRANSLATIONS SINCE 1.5,,,,,,,,,,,,
PERKS,,,,,,,,,,,,
perkname_graham_robot,"科技力量",,,,,,,,,,,,
perkdesc_graham_robot,"当你捡起心时会召唤一些临时机器人与你并肩作战！",,,,,,,,,,,,
perkname_graham_magicskin,"魔法皮肤",,,,,,,,,,,,
perkdesc_graham_magicskin,"在此后的圣山中你能获得额外的天赋，但是你会受到可怕的诅咒......",,,,,,,,,,,,
perkname_graham_death,"消亡",,,,,,,,,,,,
perkdesc_graham_death,"当生命值低于20%时你会立即死亡，但你会以+50最大生命值和额外的天赋开始下一局游戏。",,,,,,,,,,,,
perkname_graham_blindspot,盲点,,,,,,,,,,,,
perkdesc_graham_blindspot,"你可以清楚地看清你周围的一大片区域，并且不会失明。",,,,,,,,,,,,
perkname_graham_refresher,花式刷新,,,,,,,,,,,,
perkdesc_graham_refresher,法术刷新器有机率产生几个随机法术，而不是刷新你的法术次数。,,,,,,,,,,,,
perkname_graham_alliance,不稳定的联盟,,,,,,,,,,,,
perkdesc_graham_alliance,如果你的生命值低于20%，你的投射物会暂时迷惑敌人。,,,,,,,,,,,,
perkname_graham_lukkimount,路奇坐骑,,,,,,,,,,,,
perkdesc_graham_lukkimount,召唤一只友好的可骑乘蜘蛛来帮助你。,,,,,,,,,,,,
perkname_graham_wandkick,踢取法术,,,,,,,,,,,,
perkdesc_graham_wandkick,在魔杖附近踢击会立即取出魔杖中的所有的法术。,,,,,,,,,,,,
perkname_graham_repossession,回收,,,,,,,,,,,,
perkdesc_graham_repossession,"当敌人死亡时它们现有的投射物会变成友方的投射物。",,,,,,,,,,,,
perkname_graham_fortuneteller,占卜师,,,,,,,,,,,,
perkdesc_graham_fortuneteller,"当站立不动时，你可以支付黄金来召唤一个可投掷的水晶球。",,,,,,,,,,,,
perkname_graham_straw,吸管,,,,,,,,,,,,
perkdesc_graham_straw,"当拿着瓶子时添加一个吸管让你可以在更远的距离收集材料！",,,,,,,,,,,,
perkname_graham_betrayal,背刺,,,,,,,,,,,,
perkdesc_graham_betrayal,"由其他敌人造成的另一个敌人死亡视作技巧击杀并获得双倍金币。",,,,,,,,,,,,
perkname_graham_extraslots,魔杖容量+,,,,,,,,,,,,
perkdesc_graham_extraslots,"所有魔杖的容量都会随机增加或减少最多4个，忽略魔杖容量上限。",,,,,,,,,,,,
perkname_graham_buyback,回购（一次性）,,,,,,,,,,,,
perkdesc_graham_buyback,"你的法术仓库中的所有法术都会被复制，但你必须再次购买所有法术！",,,,,,,,,,,,
perkname_graham_sheepification,"羊化",,,,,,,,,,,,
perkdesc_graham_sheepification,"发射投射物时可能会同时发射一枚变形魔弹。",,,,,,,,,,,,
SPELLS,,,,,,,,,,,,
graham_name_manaheartbreak,破碎的法力之心,,,,,,,,,,,,
graham_desc_manaheartbreak,"立即为魔杖增加240点法力，但暂时减少60最大法力值",,,,,,,,,,,,
graham_name_muddle_bud,混乱之芽,,,,,,,,,,,,
graham_desc_muddle_bud,一种奇怪的花，会让敌人混淆朋友和敌人,,,,,,,,,,,,
graham_name_false_swipe,点到为止,,,,,,,,,,,,
graham_desc_false_swipe,造成大量伤害但无法杀死敌人的投射物,,,,,,,,,,,,
graham_name_rollout,翻滚,,,,,,,,,,,,
graham_desc_rollout,召唤一个强大的石球，可以将你装入其中,,,,,,,,,,,,
graham_name_circle_translocation,易位之环,,,,,,,,,,,,
graham_desc_circle_translocation,相位魔法领域,,,,,,,,,,,,
graham_name_willowisp,鬼火,,,,,,,,,,,,
graham_desc_willowisp,一种无伤害的带有追踪效果的投射物，会造成点燃效果,,,,,,,,,,,,
graham_name_foamarmor,泡沫盔甲,,,,,,,,,,,,
graham_desc_foamarmor,为你提供临时的泡沫盔甲，阻止点燃和绿毒对你造成伤害,,,,,,,,,,,,
graham_name_dissolution,瓦解,,,,,,,,,,,,
graham_desc_dissolution,投射物会使敌人在一段时间内被削弱并减少造成的伤害,,,,,,,,,,,,
graham_name_bramball,荆棘球,,,,,,,,,,,,
graham_desc_bramball,一种带刺的投射物，可将击中的敌人固定在原地,,,,,,,,,,,,
