PERKS,,,,,,,,,,,,
perkname_graham_pure_blood,"纯净血液",,,,,,,,,,,,
perkdesc_graham_pure_blood,"你的血液被纯净液体所取代。",,,,,,,,,,,,
perkname_graham_salt_blood,"盐分血液",,,,,,,,,,,,
perkdesc_graham_salt_blood,"你受伤时会流出盐，平时能够缓慢地吸收附近的液体，并减少一点受到伤害。",,,,,,,,,,,,
perkname_graham_item_lottery,"抽奖（一次性）",,,,,,,,,,,,
perkdesc_graham_item_lottery,在你面前生成一些随机物品和药水！,,,,,,,,,,,,
perkname_graham_meat_money,"点尸成金",,,,,,,,,,,,
perkdesc_graham_meat_money,大多数附近的敌人尸体都被转化为黄金。,,,,,,,,,,,,
perkname_graham_lifelottery,"生命博彩（一次性）",,,,,,,,,,,,
perkdesc_graham_lifelottery,"1/2 做好赌输的准备了吗？",,,,,,,,,,,,
perkname_graham_heatwave,"热浪",,,,,,,,,,,,
perkdesc_graham_heatwave,"你融化附近的冰和其他寒冷的物质，并且免疫冻结。",,,,,,,,,,,,
perkname_graham_wand_reforge,"魔杖重铸（一次性）",,,,,,,,,,,,
perkdesc_graham_wand_reforge,"你手持的魔杖属性略有提高。",,,,,,,,,,,,
perkname_graham_healthy_hearts,"健康的心",,,,,,,,,,,,
perkdesc_graham_healthy_hearts,"增加最大生命值的红心也会治愈你。",,,,,,,,,,,,
perkname_graham_bloody_perk,"血腥奖励",,,,,,,,,,,,
perkdesc_graham_bloody_perk,"在一个关卡杀死足够多的敌人后，你会在圣山获得额外奖励。",,,,,,,,,,,,
perkname_graham_elementals,"友好元素（一次性）",,,,,,,,,,,,
perkdesc_graham_elementals,"你获得了一件可以安抚元素的神器。",,,,,,,,,,,,
perkname_graham_lucky_clover,"幸运四叶草",,,,,,,,,,,,
perkdesc_graham_lucky_clover,"您找到红心或稀有宝箱的机会将大大增加。",,,,,,,,,,,,
perkname_graham_revenge_freeze,"复仇冻结",,,,,,,,,,,,
perkdesc_graham_revenge_freeze,"你在受到伤害时释放出冰冷的投射物。",,,,,,,,,,,,
perkname_graham_immunityaura,"免疫光环",,,,,,,,,,,,
perkdesc_graham_immunityaura,你获得随机的免疫效果，当你过于混乱时效果可能会改变。,,,,,,,,,,,,
perkname_graham_materialist,"唯物主义者",,,,,,,,,,,,
perkdesc_graham_materialist,"根据你拥有一次性天赋的数量提升你魔杖的法力恢复速度。",,,,,,,,,,,,
perkname_graham_death,"消亡",,,,,,,,,,,,
perkdesc_graham_death,"你的下一局游戏将以+50最大生命值和一个额外天赋开始，但在本局游戏当你的生命值低于20%时你会立即死亡。",,,,,,,,,,,,
perkname_graham_sheepification,"羊化",,,,,,,,,,,,
perkdesc_graham_sheepification,"被你的投射物击中的敌人小概率会变成无害的绵羊。",,,,,,,,,,,,
perkname_graham_robot,"科技力量",,,,,,,,,,,,
perkdesc_graham_robot,"你觉得与世界上的机器人有某种亲缘关系。",,,,,,,,,,,,
perkname_graham_luckyday,"幸运日",,,,,,,,,,,,
perkdesc_graham_luckyday,"你有机会规避重大伤害。",,,,,,,,,,,,
perkname_graham_zaptap,"静电",,,,,,,,,,,,
perkdesc_graham_zaptap,"当敌人近距离攻击你时，你们之间会产生一次电击，你获得近战免疫。",,,,,,,,,,,,
perkname_graham_iou,"欠条（一次性）",,,,,,,,,,,,
perkdesc_graham_iou,"你将获得5分钟的随时修改魔杖，时间结束之后会获得随机奖励。",,,,,,,,,,,,
perkname_graham_breadcrumbs,"面包屑",,,,,,,,,,,,
perkdesc_graham_breadcrumbs,"你留下了有用的球体，这些球体可以在你已经去过的地方加速你的移动。",,,,,,,,,,,,
perkname_graham_campfire,"营火",,,,,,,,,,,,
perkdesc_graham_campfire,"此后圣山中的红心只给你所需要的恢复量，你可以一点一点的使用。",,,,,,,,,,,,
perkname_graham_guard,"安全探索",,,,,,,,,,,,
perkdesc_graham_guard,"当第一次进入一个区域时，你会获得短暂的无敌效果。",,,,,,,,,,,,
perkname_graham_tipsy_ghost,"酒鬼幽灵",,,,,,,,,,,,
perkdesc_graham_tipsy_ghost,"一个不专业的幽灵会助你一臂之力，你的瞄准不会在醉酒时受到干扰。",,,,,,,,,,,,
perkname_graham_map,"神秘雷达 I",,,,,,,,,,,,
perkdesc_graham_map,"如果些许驻足，便可以感觉到一些隐藏在世界各地的秘密。",,,,,,,,,,,,
perkname_graham_map2,"神秘雷达 II",,,,,,,,,,,,
perkdesc_graham_map2,"如果些许驻足，便可以感受到更多隐藏在世界各地的秘密。",,,,,,,,,,,,
